level,day,week,dayTitle,phrases,status,mediaProduction
11,1,1,قراءة Latin Darija بالأرقام,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,Not started; native QA required before audio/image/video.
11,2,1,فهم 3 و7 و9 في الرسائل,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,Not started; native QA required before audio/image/video.
11,3,1,رسائل واتساب قصيرة,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,Not started; native QA required before audio/image/video.
11,4,1,رسالة صوتية بطيئة,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,Not started; native QA required before audio/image/video.
11,5,1,رسالة صوتية طبيعية,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,Not started; native QA required before audio/image/video.
11,6,1,كلام سريع في الشارع,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,Not started; native QA required before audio/image/video.
11,7,1,مراجعة أسبوع 1: واتساب أساسي,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,Not started; native QA required before audio/image/video.
11,8,2,اختصارات التحية والرد,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,Not started; native QA required before audio/image/video.
11,9,2,كلام ناقص لكن مفهوم,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,Not started; native QA required before audio/image/video.
11,10,2,فهم نبرة المزاح,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,Not started; native QA required before audio/image/video.
11,11,2,تعليقات فيديو قصيرة,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,Not started; native QA required before audio/image/video.
11,12,2,مقطع مطعم أو سوق,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,Not started; native QA required before audio/image/video.
11,13,2,مقطع طاكسي أو شارع,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,Not started; native QA required before audio/image/video.
11,14,2,فهم كلمة وسط جملة سريعة,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,Not started; native QA required before audio/image/video.
11,15,3,طلب إعادة الرسالة ببطء,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,Not started; native QA required before audio/image/video.
11,16,3,كتابة رد بسيط في واتساب,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,Not started; native QA required before audio/image/video.
11,17,3,تسجيل رسالة صوتية قصيرة,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,Not started; native QA required before audio/image/video.
11,18,3,الرد على دعوة في واتساب,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,Not started; native QA required before audio/image/video.
11,19,3,فهم إلغاء موعد,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,Not started; native QA required before audio/image/video.
11,20,3,فهم موقع أو عنوان مرسل,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,Not started; native QA required before audio/image/video.
11,21,3,مراجعة أسبوع 3: صوت + كتابة,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,Not started; native QA required before audio/image/video.
11,22,4,تعابير شعبية شائعة,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,Not started; native QA required before audio/image/video.
11,23,4,فهم لهجة مدينة مختلفة قليلًا,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,Not started; native QA required before audio/image/video.
11,24,4,متى لا ترد بسرعة,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,Not started; native QA required before audio/image/video.
11,25,4,التعامل مع سوء فهم في رسالة,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,Not started; native QA required before audio/image/video.
11,26,4,شرح أنك تتعلم الدارجة,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,Not started; native QA required before audio/image/video.
11,27,4,تحويل رسالة إلى موقف,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,Not started; native QA required before audio/image/video.
11,28,4,محادثة صوتية قصيرة,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,Not started; native QA required before audio/image/video.
11,29,5,مراجعة native listening,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,Not started; native QA required before audio/image/video.
11,30,5,اختبار Level 11: واتساب ومقطع حقيقي,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,Not started; native QA required before audio/image/video.
