level,day,week,title,situation,phraseCount,status
9,1,1,أول لقاء مهني,You meet a Moroccan professional contact and start politely.,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
9,2,1,تحديد موعد عمل,You schedule a business appointment politely.,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
9,3,1,الهاتف والواتساب والإيميل,You exchange contact details and follow up digitally.,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
9,4,1,الاستقبال والمكتب,You arrive at an office and handle reception.,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
9,5,1,فهم حاجة الكليون,You discover what a client needs.,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
9,6,1,شرح الخدمة أو المنتج,You explain what your service/product does.,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
9,7,1,مراجعة الأسبوع الأول,"You combine introductions, appointment, contact, reception, and client needs.",5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
9,8,2,بداية الاجتماع,You open a meeting and set the agenda.,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
9,9,2,توضيح الأسئلة,You ask clarifying questions without sounding rude.,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
9,10,2,الثمن والعرض التجاري,You discuss price and quotation.,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
9,11,2,الفاتورة والدفع,"You handle invoice, payment, and proof.",5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
9,12,2,الآجال والتسليم,You talk about delivery dates and deadlines.,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
9,13,2,تأخير ومشكل صغير,You handle delays and small problems professionally.,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
9,14,2,مراجعة الأسبوع الثاني,"You review meeting structure, questions, pricing, payment, delivery, and delay.",5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
9,15,3,التفاوض بلطف,You negotiate without being too direct.,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
9,16,3,صاحب القرار والموافقة,You identify decision-makers and approvals.,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
9,17,3,العقد والوثائق,You discuss documents and contract basics.,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
9,18,3,البنك والمحاسبة البسيطة,You handle simple banking/accounting language.,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
9,19,3,كواركينغ والطباعة والإنترنت,"You work from coworking, print, scan, and solve internet needs.",5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
9,20,3,خدمة فريلانسر أو مزود,You hire or coordinate with a freelancer/service provider.,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
9,21,3,مراجعة الأسبوع الثالث,"You review negotiation, approvals, documents, accounting, workspace, and freelancers.",5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
9,22,4,متابعة بعد الاجتماع,You follow up after a meeting without pressure.,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
9,23,4,عرض تقديمي أو ديمو,You present or demo your work.,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
9,24,4,خدمة الزبناء والشكاية,You handle a client complaint politely.,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
9,25,4,شراكة وعلاقات مهنية,You build a professional relationship or partnership.,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
9,26,4,معرض أو محل تجاري,"You handle business in a fair, booth, or shop.",5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
9,27,4,إدارة ووثائق رسمية,You deal with formal offices and paperwork for work.,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
9,28,4,مراجعة الأسبوع الرابع,"You review follow-up, demo, complaints, partnership, trade fair, and admin paperwork.",5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
9,29,5,مواقف عمل مختلطة,You move across several work/business situations in one Moroccan day.,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
9,30,5,اختبار بزنس نهائي,You complete a full practical business simulation.,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
