level,day,week,title,situation,phraseCount,status
7,1,1,اختيار الحي المناسب,You are choosing a practical neighborhood for a longer stay in Morocco.,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
7,2,1,رؤية الشقة لأول مرة,You are viewing an apartment and checking if it fits your daily life.,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
7,3,1,الثمن والميزانية,"You talk about rent, budget, and what is included.",5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
7,4,1,المفروش وغير المفروش,You compare furnished and unfurnished housing needs.,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
7,5,1,العقد والضمان,"You discuss contract, deposit, and proof of payment.",5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
7,6,1,الدخول إلى السكن,"You move in and confirm keys, rules, and first problems.",5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
7,7,1,مراجعة السكن الأسبوعية,You review housing phrases from the first week.,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
7,8,2,الويفي والراوتر,You set up home internet and ask about Wi‑Fi problems.,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
7,9,2,الشريحة والبيانات,You buy or manage a Moroccan SIM card and data.,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
7,10,2,فواتير الماء والضو,You ask about water and electricity bills.,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
7,11,2,المطبخ والأجهزة,You use the kitchen and check appliances in daily life.,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
7,12,2,الغسيل والتنظيف,"You manage laundry, cleaning, and household chores.",5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
7,13,2,النفايات وقواعد العمارة,"You learn trash, recycling, and building etiquette.",5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
7,14,2,مراجعة خدمات البيت,"You review internet, bills, cleaning, and home rules.",5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
7,15,3,طلب الإصلاحات,You request repairs without sounding aggressive.,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
7,16,3,مشاكل الماء والكهرباء,You explain water and electricity problems in the apartment.,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
7,17,3,البواب والحارس,You interact with the building guardian or concierge.,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
7,18,3,الجيران والضجيج,You communicate politely with neighbors.,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
7,19,3,التوصيل والطلبات,"You receive deliveries, packages, and food orders.",5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
7,20,3,الخدمات القريبة,You find daily services in your neighborhood.,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
7,21,3,مراجعة حياة الحي,"You review neighborhood, neighbors, delivery, and services.",5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
7,22,4,المواعيد مع الخدمات,You arrange service visits and appointments.,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
7,23,4,دفع الكراء والوصل,You pay rent and ask for proof.,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
7,24,4,الأبناك والكاش,"You handle cash, ATM, bank, and payment problems.",5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
7,25,4,العمل عن بعد والمقهى,"You work remotely from home, cafés, or coworking spaces.",5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
7,26,4,الأوراق والإقامة الطويلة,You ask basic questions about papers without giving legal advice.,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
7,27,4,تمديد الإقامة والتخطيط,You plan to extend your stay or prepare to leave.,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
7,28,4,مراجعة الإقامة الأطول,"You review service appointments, payments, papers, and planning.",5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
7,29,5,مواقف مختلطة في الإقامة,You handle mixed long-stay problems in real sequence.,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
7,30,5,اختبار الإقامة النهائي,You complete a full longer-stay scenario from arrival to service handling.,5,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA
