level,day,week,dayTitle,phraseId,scenario,english,friendlyLatin,arabic,possibleMoroccanReply,cultureNote,pronunciationParts,status,audioNormal,audioSlow,sceneVideo,scenePoster,sceneVisual,imagePromptSeed,videoActionSeed
7,1,1,اختيار الحي المناسب,L07-D01-P01,You ask if this neighborhood is calm.,Is this neighborhood calm?,wash had l-7oma hadi haniya?,واش هاد الحومة هانية؟,"iyeh, haniya / shwiya 3amra",Ask about calmness because noise and traffic can change a lot between neighborhoods.,wash / had / l-7oma / hadi / haniya,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level07/day01/l07-d01-p01-normal.mp3,assets/audio/level07/day01/l07-d01-p01-slow.mp3,assets/video/level07/day01/l07-d01-p01-scene.mp4,assets/images/video-posters/level07/day01/l07-d01-p01-poster.webp,assets/images/lesson-scenes/level07/day01/l07-d01-p01-scene.webp,"Realistic Moroccan longer-stay scene, Level 7 Day 1: اختيار الحي المناسب. Show a foreign learner respectfully handling this situation: You ask if this neighborhood is calm.. Visual focus: the phrase 'wash had l-7oma hadi haniya?' without putting text on the image. Moroccan apartment building, local neighborhood, hanout, laundry shop, repair visit, Wi‑Fi/router, SIM shop, service counter, or home interior as appropriate, natural light, realistic daily life.","Short interactive video: learner is in a Moroccan longer-stay/daily-service situation during 'اختيار الحي المناسب'. Trigger: You ask if this neighborhood is calm.. Learner says 'wash had l-7oma hadi haniya?'. Moroccan person replies 'iyeh, haniya / shwiya 3amra'. End with a clear action showing the practical situation resolved respectfully."
7,1,1,اختيار الحي المناسب,L07-D01-P02,You ask if daily shops are nearby.,Is there a small shop nearby?,wash kayn hanout qrib?,واش كاين حانوت قريب؟,kayn f zan9a li morak,"A nearby hanout is important for water, bread, milk, and small daily needs.",wash / kayn / hanout / qrib,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level07/day01/l07-d01-p02-normal.mp3,assets/audio/level07/day01/l07-d01-p02-slow.mp3,assets/video/level07/day01/l07-d01-p02-scene.mp4,assets/images/video-posters/level07/day01/l07-d01-p02-poster.webp,assets/images/lesson-scenes/level07/day01/l07-d01-p02-scene.webp,"Realistic Moroccan longer-stay scene, Level 7 Day 1: اختيار الحي المناسب. Show a foreign learner respectfully handling this situation: You ask if daily shops are nearby.. Visual focus: the phrase 'wash kayn hanout qrib?' without putting text on the image. Moroccan apartment building, local neighborhood, hanout, laundry shop, repair visit, Wi‑Fi/router, SIM shop, service counter, or home interior as appropriate, natural light, realistic daily life.",Short interactive video: learner is in a Moroccan longer-stay/daily-service situation during 'اختيار الحي المناسب'. Trigger: You ask if daily shops are nearby.. Learner says 'wash kayn hanout qrib?'. Moroccan person replies 'kayn f zan9a li morak'. End with a clear action showing the practical situation resolved respectfully.
7,1,1,اختيار الحي المناسب,L07-D01-P03,You ask if transport is easy from here.,Is transport easy from here?,wash transport sahla mn hna?,واش الترونسبور ساهلة من هنا؟,"iyeh, taxiat kaynin dima","For longer stays, transport access matters more than tourist scenery.",wash / transport / sahla / mn / hna,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level07/day01/l07-d01-p03-normal.mp3,assets/audio/level07/day01/l07-d01-p03-slow.mp3,assets/video/level07/day01/l07-d01-p03-scene.mp4,assets/images/video-posters/level07/day01/l07-d01-p03-poster.webp,assets/images/lesson-scenes/level07/day01/l07-d01-p03-scene.webp,"Realistic Moroccan longer-stay scene, Level 7 Day 1: اختيار الحي المناسب. Show a foreign learner respectfully handling this situation: You ask if transport is easy from here.. Visual focus: the phrase 'wash transport sahla mn hna?' without putting text on the image. Moroccan apartment building, local neighborhood, hanout, laundry shop, repair visit, Wi‑Fi/router, SIM shop, service counter, or home interior as appropriate, natural light, realistic daily life.","Short interactive video: learner is in a Moroccan longer-stay/daily-service situation during 'اختيار الحي المناسب'. Trigger: You ask if transport is easy from here.. Learner says 'wash transport sahla mn hna?'. Moroccan person replies 'iyeh, taxiat kaynin dima'. End with a clear action showing the practical situation resolved respectfully."
7,1,1,اختيار الحي المناسب,L07-D01-P04,You ask if the area is safe at night.,Is this area safe at night?,wash had l-blasa amna b-lil?,واش هاد البلاصة آمنة بالليل؟,"iyeh, ma kayn moshkil",Ask politely; locals often explain which streets feel better at night.,wash / had / l-blasa / amna / b-lil,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level07/day01/l07-d01-p04-normal.mp3,assets/audio/level07/day01/l07-d01-p04-slow.mp3,assets/video/level07/day01/l07-d01-p04-scene.mp4,assets/images/video-posters/level07/day01/l07-d01-p04-poster.webp,assets/images/lesson-scenes/level07/day01/l07-d01-p04-scene.webp,"Realistic Moroccan longer-stay scene, Level 7 Day 1: اختيار الحي المناسب. Show a foreign learner respectfully handling this situation: You ask if the area is safe at night.. Visual focus: the phrase 'wash had l-blasa amna b-lil?' without putting text on the image. Moroccan apartment building, local neighborhood, hanout, laundry shop, repair visit, Wi‑Fi/router, SIM shop, service counter, or home interior as appropriate, natural light, realistic daily life.","Short interactive video: learner is in a Moroccan longer-stay/daily-service situation during 'اختيار الحي المناسب'. Trigger: You ask if the area is safe at night.. Learner says 'wash had l-blasa amna b-lil?'. Moroccan person replies 'iyeh, ma kayn moshkil'. End with a clear action showing the practical situation resolved respectfully."
7,1,1,اختيار الحي المناسب,L07-D01-P05,You say you want to stay for a while.,I want to stay here for a while.,bghit nbqa hna wahed l-moda,بغيت نبقى هنا واحد المدة,"marhba, sh7al ghadi tbqa?",Longer-stay language starts with explaining that you are not just passing through.,bghit / nbqa / hna / wahed / l-moda,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level07/day01/l07-d01-p05-normal.mp3,assets/audio/level07/day01/l07-d01-p05-slow.mp3,assets/video/level07/day01/l07-d01-p05-scene.mp4,assets/images/video-posters/level07/day01/l07-d01-p05-poster.webp,assets/images/lesson-scenes/level07/day01/l07-d01-p05-scene.webp,"Realistic Moroccan longer-stay scene, Level 7 Day 1: اختيار الحي المناسب. Show a foreign learner respectfully handling this situation: You say you want to stay for a while.. Visual focus: the phrase 'bghit nbqa hna wahed l-moda' without putting text on the image. Moroccan apartment building, local neighborhood, hanout, laundry shop, repair visit, Wi‑Fi/router, SIM shop, service counter, or home interior as appropriate, natural light, realistic daily life.","Short interactive video: learner is in a Moroccan longer-stay/daily-service situation during 'اختيار الحي المناسب'. Trigger: You say you want to stay for a while.. Learner says 'bghit nbqa hna wahed l-moda'. Moroccan person replies 'marhba, sh7al ghadi tbqa?'. End with a clear action showing the practical situation resolved respectfully."
7,2,1,رؤية الشقة لأول مرة,L07-D02-P01,You ask to see the apartment.,Can I see the apartment?,n9dr nshof l-appartement?,نقدر نشوف الأبارطمان؟,"iyeh, tfdal",Use tfdal/tfdali as a common welcoming response when someone invites you in.,n9dr / nshof / l-appartement,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level07/day02/l07-d02-p01-normal.mp3,assets/audio/level07/day02/l07-d02-p01-slow.mp3,assets/video/level07/day02/l07-d02-p01-scene.mp4,assets/images/video-posters/level07/day02/l07-d02-p01-poster.webp,assets/images/lesson-scenes/level07/day02/l07-d02-p01-scene.webp,"Realistic Moroccan longer-stay scene, Level 7 Day 2: رؤية الشقة لأول مرة. Show a foreign learner respectfully handling this situation: You ask to see the apartment.. Visual focus: the phrase 'n9dr nshof l-appartement?' without putting text on the image. Moroccan apartment building, local neighborhood, hanout, laundry shop, repair visit, Wi‑Fi/router, SIM shop, service counter, or home interior as appropriate, natural light, realistic daily life.","Short interactive video: learner is in a Moroccan longer-stay/daily-service situation during 'رؤية الشقة لأول مرة'. Trigger: You ask to see the apartment.. Learner says 'n9dr nshof l-appartement?'. Moroccan person replies 'iyeh, tfdal'. End with a clear action showing the practical situation resolved respectfully."
7,2,1,رؤية الشقة لأول مرة,L07-D02-P02,You ask how many rooms it has.,How many rooms are there?,sh7al mn bit kayn hna?,شحال من بيت كاين هنا؟,kaynin jouj dyal l-byout,Room counts can be described differently; ask clearly and look yourself.,sh7al / mn / bit / kayn / hna,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level07/day02/l07-d02-p02-normal.mp3,assets/audio/level07/day02/l07-d02-p02-slow.mp3,assets/video/level07/day02/l07-d02-p02-scene.mp4,assets/images/video-posters/level07/day02/l07-d02-p02-poster.webp,assets/images/lesson-scenes/level07/day02/l07-d02-p02-scene.webp,"Realistic Moroccan longer-stay scene, Level 7 Day 2: رؤية الشقة لأول مرة. Show a foreign learner respectfully handling this situation: You ask how many rooms it has.. Visual focus: the phrase 'sh7al mn bit kayn hna?' without putting text on the image. Moroccan apartment building, local neighborhood, hanout, laundry shop, repair visit, Wi‑Fi/router, SIM shop, service counter, or home interior as appropriate, natural light, realistic daily life.",Short interactive video: learner is in a Moroccan longer-stay/daily-service situation during 'رؤية الشقة لأول مرة'. Trigger: You ask how many rooms it has.. Learner says 'sh7al mn bit kayn hna?'. Moroccan person replies 'kaynin jouj dyal l-byout'. End with a clear action showing the practical situation resolved respectfully.
7,2,1,رؤية الشقة لأول مرة,L07-D02-P03,You ask if the apartment is furnished.,Is it furnished?,wash mfrsha?,واش مفروشة؟,"iyeh, mfrsha kamla",Furnished apartments are common for foreigners and short/medium stays.,wash / mfrsha,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level07/day02/l07-d02-p03-normal.mp3,assets/audio/level07/day02/l07-d02-p03-slow.mp3,assets/video/level07/day02/l07-d02-p03-scene.mp4,assets/images/video-posters/level07/day02/l07-d02-p03-poster.webp,assets/images/lesson-scenes/level07/day02/l07-d02-p03-scene.webp,"Realistic Moroccan longer-stay scene, Level 7 Day 2: رؤية الشقة لأول مرة. Show a foreign learner respectfully handling this situation: You ask if the apartment is furnished.. Visual focus: the phrase 'wash mfrsha?' without putting text on the image. Moroccan apartment building, local neighborhood, hanout, laundry shop, repair visit, Wi‑Fi/router, SIM shop, service counter, or home interior as appropriate, natural light, realistic daily life.","Short interactive video: learner is in a Moroccan longer-stay/daily-service situation during 'رؤية الشقة لأول مرة'. Trigger: You ask if the apartment is furnished.. Learner says 'wash mfrsha?'. Moroccan person replies 'iyeh, mfrsha kamla'. End with a clear action showing the practical situation resolved respectfully."
7,2,1,رؤية الشقة لأول مرة,L07-D02-P04,You ask if the kitchen works.,Does the kitchen work well?,wash l-kuzina khdama mzyan?,واش الكوزينة خدامة مزيان؟,"iyeh, kolshi khdam","Check appliances before agreeing, especially for longer stays.",wash / l-kuzina / khdama / mzyan,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level07/day02/l07-d02-p04-normal.mp3,assets/audio/level07/day02/l07-d02-p04-slow.mp3,assets/video/level07/day02/l07-d02-p04-scene.mp4,assets/images/video-posters/level07/day02/l07-d02-p04-poster.webp,assets/images/lesson-scenes/level07/day02/l07-d02-p04-scene.webp,"Realistic Moroccan longer-stay scene, Level 7 Day 2: رؤية الشقة لأول مرة. Show a foreign learner respectfully handling this situation: You ask if the kitchen works.. Visual focus: the phrase 'wash l-kuzina khdama mzyan?' without putting text on the image. Moroccan apartment building, local neighborhood, hanout, laundry shop, repair visit, Wi‑Fi/router, SIM shop, service counter, or home interior as appropriate, natural light, realistic daily life.","Short interactive video: learner is in a Moroccan longer-stay/daily-service situation during 'رؤية الشقة لأول مرة'. Trigger: You ask if the kitchen works.. Learner says 'wash l-kuzina khdama mzyan?'. Moroccan person replies 'iyeh, kolshi khdam'. End with a clear action showing the practical situation resolved respectfully."
7,2,1,رؤية الشقة لأول مرة,L07-D02-P05,You say you want to think first.,I want to think first.,bghit nfker lwel,بغيت نفكر اللول,"wakha, khod waqtak",This is a polite way to avoid pressure without refusing directly.,bghit / nfker / lwel,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level07/day02/l07-d02-p05-normal.mp3,assets/audio/level07/day02/l07-d02-p05-slow.mp3,assets/video/level07/day02/l07-d02-p05-scene.mp4,assets/images/video-posters/level07/day02/l07-d02-p05-poster.webp,assets/images/lesson-scenes/level07/day02/l07-d02-p05-scene.webp,"Realistic Moroccan longer-stay scene, Level 7 Day 2: رؤية الشقة لأول مرة. Show a foreign learner respectfully handling this situation: You say you want to think first.. Visual focus: the phrase 'bghit nfker lwel' without putting text on the image. Moroccan apartment building, local neighborhood, hanout, laundry shop, repair visit, Wi‑Fi/router, SIM shop, service counter, or home interior as appropriate, natural light, realistic daily life.","Short interactive video: learner is in a Moroccan longer-stay/daily-service situation during 'رؤية الشقة لأول مرة'. Trigger: You say you want to think first.. Learner says 'bghit nfker lwel'. Moroccan person replies 'wakha, khod waqtak'. End with a clear action showing the practical situation resolved respectfully."
