level,day,week,dayTitle,phraseId,scenario,english,friendlyLatin,arabic,possibleMoroccanReply,cultureNote,pronunciationParts,status,audioNormal,audioSlow,sceneVideo,scenePoster,sceneVisual,imagePromptSeed,videoActionSeed
9,1,1,أول لقاء مهني,L09-D01-P01,You greet a colleague or contact at the start of a meeting.,"Hello, nice to meet you.","salam, mtsherrfin",سلام، متشرفين,"mtsherrfin, marhba bik",Professional conversations still start warmly before business.,salam / mtsherrfin,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level09/day01/l09-d01-p01-normal.mp3,assets/audio/level09/day01/l09-d01-p01-slow.mp3,assets/video/level09/day01/l09-d01-p01-scene.mp4,assets/images/video-posters/level09/day01/l09-d01-p01-poster.webp,assets/images/lesson-scenes/level09/day01/l09-d01-p01-scene.webp,"Realistic Moroccan professional or small-business scene, Level 9 Day 1: أول لقاء مهني. Show a foreign learner respectfully handling this work/business situation: You greet a colleague or contact at the start of a meeting.. Visual focus: the phrase 'salam, mtsherrfin' without putting text on the image. Moroccan café meeting, office reception, coworking space, shop counter, trade fair stand, bank/admin office, client meeting room, or WhatsApp/email follow-up context as appropriate, natural realistic daily life.","Short interactive video: learner is in a Moroccan work/business situation during 'أول لقاء مهني'. Trigger: You greet a colleague or contact at the start of a meeting.. Learner says 'salam, mtsherrfin'. Moroccan professional replies 'mtsherrfin, marhba bik'. End with a clear practical action: scheduling, confirming, negotiating, sending documents, resolving a delay, or closing politely."
9,1,1,أول لقاء مهني,L09-D01-P02,You introduce yourself by name and role.,My name is Alex and I work in marketing.,smiti Alex w kan-khdem f marketing,سميتي أليكس وكنخدم فالماركتينغ,"marhba, ana Youssef",Role words often mix Darija with French/English business terms.,smiti / Alex / w / kan-khdem / f / marketing,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level09/day01/l09-d01-p02-normal.mp3,assets/audio/level09/day01/l09-d01-p02-slow.mp3,assets/video/level09/day01/l09-d01-p02-scene.mp4,assets/images/video-posters/level09/day01/l09-d01-p02-poster.webp,assets/images/lesson-scenes/level09/day01/l09-d01-p02-scene.webp,"Realistic Moroccan professional or small-business scene, Level 9 Day 1: أول لقاء مهني. Show a foreign learner respectfully handling this work/business situation: You introduce yourself by name and role.. Visual focus: the phrase 'smiti Alex w kan-khdem f marketing' without putting text on the image. Moroccan café meeting, office reception, coworking space, shop counter, trade fair stand, bank/admin office, client meeting room, or WhatsApp/email follow-up context as appropriate, natural realistic daily life.","Short interactive video: learner is in a Moroccan work/business situation during 'أول لقاء مهني'. Trigger: You introduce yourself by name and role.. Learner says 'smiti Alex w kan-khdem f marketing'. Moroccan professional replies 'marhba, ana Youssef'. End with a clear practical action: scheduling, confirming, negotiating, sending documents, resolving a delay, or closing politely."
9,1,1,أول لقاء مهني,L09-D01-P03,You say you are here for work.,I am here for work.,ana hna 3la khdma,أنا هنا على خدمة,"mzyan, allah ysehel",Simple purpose phrase helps at reception or introductions.,ana / hna / 3la / khdma,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level09/day01/l09-d01-p03-normal.mp3,assets/audio/level09/day01/l09-d01-p03-slow.mp3,assets/video/level09/day01/l09-d01-p03-scene.mp4,assets/images/video-posters/level09/day01/l09-d01-p03-poster.webp,assets/images/lesson-scenes/level09/day01/l09-d01-p03-scene.webp,"Realistic Moroccan professional or small-business scene, Level 9 Day 1: أول لقاء مهني. Show a foreign learner respectfully handling this work/business situation: You say you are here for work.. Visual focus: the phrase 'ana hna 3la khdma' without putting text on the image. Moroccan café meeting, office reception, coworking space, shop counter, trade fair stand, bank/admin office, client meeting room, or WhatsApp/email follow-up context as appropriate, natural realistic daily life.","Short interactive video: learner is in a Moroccan work/business situation during 'أول لقاء مهني'. Trigger: You say you are here for work.. Learner says 'ana hna 3la khdma'. Moroccan professional replies 'mzyan, allah ysehel'. End with a clear practical action: scheduling, confirming, negotiating, sending documents, resolving a delay, or closing politely."
9,1,1,أول لقاء مهني,L09-D01-P04,You ask for the person responsible.,Who is responsible here?,shkun l-mas2oul hna?,شكون المسؤول هنا؟,l-mas2oul ghadi yji daba,Ask respectfully; hierarchy matters in many Moroccan workplaces.,shkun / l-mas2oul / hna,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level09/day01/l09-d01-p04-normal.mp3,assets/audio/level09/day01/l09-d01-p04-slow.mp3,assets/video/level09/day01/l09-d01-p04-scene.mp4,assets/images/video-posters/level09/day01/l09-d01-p04-poster.webp,assets/images/lesson-scenes/level09/day01/l09-d01-p04-scene.webp,"Realistic Moroccan professional or small-business scene, Level 9 Day 1: أول لقاء مهني. Show a foreign learner respectfully handling this work/business situation: You ask for the person responsible.. Visual focus: the phrase 'shkun l-mas2oul hna?' without putting text on the image. Moroccan café meeting, office reception, coworking space, shop counter, trade fair stand, bank/admin office, client meeting room, or WhatsApp/email follow-up context as appropriate, natural realistic daily life.","Short interactive video: learner is in a Moroccan work/business situation during 'أول لقاء مهني'. Trigger: You ask for the person responsible.. Learner says 'shkun l-mas2oul hna?'. Moroccan professional replies 'l-mas2oul ghadi yji daba'. End with a clear practical action: scheduling, confirming, negotiating, sending documents, resolving a delay, or closing politely."
9,1,1,أول لقاء مهني,L09-D01-P05,You ask to speak in simple Darija.,Can we speak in simple Darija?,n9dro nhadro b darija sahla?,نقدرو نهضرو بدارجة سهلة؟,"iyeh, ma kayn moshkil",This sets the learner-friendly tone without embarrassment.,n9dro / nhadro / b / darija / sahla,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level09/day01/l09-d01-p05-normal.mp3,assets/audio/level09/day01/l09-d01-p05-slow.mp3,assets/video/level09/day01/l09-d01-p05-scene.mp4,assets/images/video-posters/level09/day01/l09-d01-p05-poster.webp,assets/images/lesson-scenes/level09/day01/l09-d01-p05-scene.webp,"Realistic Moroccan professional or small-business scene, Level 9 Day 1: أول لقاء مهني. Show a foreign learner respectfully handling this work/business situation: You ask to speak in simple Darija.. Visual focus: the phrase 'n9dro nhadro b darija sahla?' without putting text on the image. Moroccan café meeting, office reception, coworking space, shop counter, trade fair stand, bank/admin office, client meeting room, or WhatsApp/email follow-up context as appropriate, natural realistic daily life.","Short interactive video: learner is in a Moroccan work/business situation during 'أول لقاء مهني'. Trigger: You ask to speak in simple Darija.. Learner says 'n9dro nhadro b darija sahla?'. Moroccan professional replies 'iyeh, ma kayn moshkil'. End with a clear practical action: scheduling, confirming, negotiating, sending documents, resolving a delay, or closing politely."
9,2,1,تحديد موعد عمل,L09-D02-P01,You ask to set an appointment.,I would like to set an appointment.,bghit n7edded wahed rendez-vous,بغيت نحدد واحد رونديفو,"wakha, imta?",Rendez-vous is widely used for appointments.,bghit / n7edded / wahed / rendez-vous,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level09/day02/l09-d02-p01-normal.mp3,assets/audio/level09/day02/l09-d02-p01-slow.mp3,assets/video/level09/day02/l09-d02-p01-scene.mp4,assets/images/video-posters/level09/day02/l09-d02-p01-poster.webp,assets/images/lesson-scenes/level09/day02/l09-d02-p01-scene.webp,"Realistic Moroccan professional or small-business scene, Level 9 Day 2: تحديد موعد عمل. Show a foreign learner respectfully handling this work/business situation: You ask to set an appointment.. Visual focus: the phrase 'bghit n7edded wahed rendez-vous' without putting text on the image. Moroccan café meeting, office reception, coworking space, shop counter, trade fair stand, bank/admin office, client meeting room, or WhatsApp/email follow-up context as appropriate, natural realistic daily life.","Short interactive video: learner is in a Moroccan work/business situation during 'تحديد موعد عمل'. Trigger: You ask to set an appointment.. Learner says 'bghit n7edded wahed rendez-vous'. Moroccan professional replies 'wakha, imta?'. End with a clear practical action: scheduling, confirming, negotiating, sending documents, resolving a delay, or closing politely."
9,2,1,تحديد موعد عمل,L09-D02-P02,You ask what day is good.,Which day works for you?,ashmn nhar ysel7 lik?,أشنو نهار يصلح ليك؟,nhar tlat mzyan,Scheduling often happens by phone or WhatsApp.,ashmn / nhar / ysel7 / lik,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level09/day02/l09-d02-p02-normal.mp3,assets/audio/level09/day02/l09-d02-p02-slow.mp3,assets/video/level09/day02/l09-d02-p02-scene.mp4,assets/images/video-posters/level09/day02/l09-d02-p02-poster.webp,assets/images/lesson-scenes/level09/day02/l09-d02-p02-scene.webp,"Realistic Moroccan professional or small-business scene, Level 9 Day 2: تحديد موعد عمل. Show a foreign learner respectfully handling this work/business situation: You ask what day is good.. Visual focus: the phrase 'ashmn nhar ysel7 lik?' without putting text on the image. Moroccan café meeting, office reception, coworking space, shop counter, trade fair stand, bank/admin office, client meeting room, or WhatsApp/email follow-up context as appropriate, natural realistic daily life.","Short interactive video: learner is in a Moroccan work/business situation during 'تحديد موعد عمل'. Trigger: You ask what day is good.. Learner says 'ashmn nhar ysel7 lik?'. Moroccan professional replies 'nhar tlat mzyan'. End with a clear practical action: scheduling, confirming, negotiating, sending documents, resolving a delay, or closing politely."
9,2,1,تحديد موعد عمل,L09-D02-P03,You propose Tuesday morning.,I propose Tuesday morning.,kan-qter7 nhar tlat f sba7,كنقترح نهار التلات فالصباح,"wakha, f 10?","Propose clearly, then confirm exact time.",kan-qter7 / nhar / tlat / f / sba7,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level09/day02/l09-d02-p03-normal.mp3,assets/audio/level09/day02/l09-d02-p03-slow.mp3,assets/video/level09/day02/l09-d02-p03-scene.mp4,assets/images/video-posters/level09/day02/l09-d02-p03-poster.webp,assets/images/lesson-scenes/level09/day02/l09-d02-p03-scene.webp,"Realistic Moroccan professional or small-business scene, Level 9 Day 2: تحديد موعد عمل. Show a foreign learner respectfully handling this work/business situation: You propose Tuesday morning.. Visual focus: the phrase 'kan-qter7 nhar tlat f sba7' without putting text on the image. Moroccan café meeting, office reception, coworking space, shop counter, trade fair stand, bank/admin office, client meeting room, or WhatsApp/email follow-up context as appropriate, natural realistic daily life.","Short interactive video: learner is in a Moroccan work/business situation during 'تحديد موعد عمل'. Trigger: You propose Tuesday morning.. Learner says 'kan-qter7 nhar tlat f sba7'. Moroccan professional replies 'wakha, f 10?'. End with a clear practical action: scheduling, confirming, negotiating, sending documents, resolving a delay, or closing politely."
9,2,1,تحديد موعد عمل,L09-D02-P04,You ask what time.,At what time exactly?,f sh7al b dabt?,فشحال بالضبط؟,f 10 dyal sba7,Exact time avoids confusion.,f / sh7al / b / dabt,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level09/day02/l09-d02-p04-normal.mp3,assets/audio/level09/day02/l09-d02-p04-slow.mp3,assets/video/level09/day02/l09-d02-p04-scene.mp4,assets/images/video-posters/level09/day02/l09-d02-p04-poster.webp,assets/images/lesson-scenes/level09/day02/l09-d02-p04-scene.webp,"Realistic Moroccan professional or small-business scene, Level 9 Day 2: تحديد موعد عمل. Show a foreign learner respectfully handling this work/business situation: You ask what time.. Visual focus: the phrase 'f sh7al b dabt?' without putting text on the image. Moroccan café meeting, office reception, coworking space, shop counter, trade fair stand, bank/admin office, client meeting room, or WhatsApp/email follow-up context as appropriate, natural realistic daily life.","Short interactive video: learner is in a Moroccan work/business situation during 'تحديد موعد عمل'. Trigger: You ask what time.. Learner says 'f sh7al b dabt?'. Moroccan professional replies 'f 10 dyal sba7'. End with a clear practical action: scheduling, confirming, negotiating, sending documents, resolving a delay, or closing politely."
9,2,1,تحديد موعد عمل,L09-D02-P05,You confirm the appointment.,"Okay, the appointment is confirmed.","wakha, rendez-vous m2akked",واخا، الرونديفو مؤكد,"mzyan, nshofok",Confirm in writing if the meeting matters.,wakha / rendez-vous / m2akked,DRAFT_WEB_RESEARCHED_NEEDS_NATIVE_AUDIO_QA,assets/audio/level09/day02/l09-d02-p05-normal.mp3,assets/audio/level09/day02/l09-d02-p05-slow.mp3,assets/video/level09/day02/l09-d02-p05-scene.mp4,assets/images/video-posters/level09/day02/l09-d02-p05-poster.webp,assets/images/lesson-scenes/level09/day02/l09-d02-p05-scene.webp,"Realistic Moroccan professional or small-business scene, Level 9 Day 2: تحديد موعد عمل. Show a foreign learner respectfully handling this work/business situation: You confirm the appointment.. Visual focus: the phrase 'wakha, rendez-vous m2akked' without putting text on the image. Moroccan café meeting, office reception, coworking space, shop counter, trade fair stand, bank/admin office, client meeting room, or WhatsApp/email follow-up context as appropriate, natural realistic daily life.","Short interactive video: learner is in a Moroccan work/business situation during 'تحديد موعد عمل'. Trigger: You confirm the appointment.. Learner says 'wakha, rendez-vous m2akked'. Moroccan professional replies 'mzyan, nshofok'. End with a clear practical action: scheduling, confirming, negotiating, sending documents, resolving a delay, or closing politely."
